codigo_departamento,departamento,codigo_municipio,municipio
05,ANTIOQUIA,001,MEDELLIN
05,ANTIOQUIA,034,ANDES
05,ANTIOQUIA,042,SANTA FE DE ANTIOQUIA
05,ANTIOQUIA,042,SANTAFE DE ANTIOQUIA
05,ANTIOQUIA,088,BELLO
05,ANTIOQUIA,129,CALDAS
05,ANTIOQUIA,148,EL CARMEN DE VIBORAL
05,ANTIOQUIA,266,ENVIGADO
05,ANTIOQUIA,360,ITAGUI
05,ANTIOQUIA,364,JARDIN
05,ANTIOQUIA,380,LA ESTRELLA
05,ANTIOQUIA,607,EL RETIRO
05,ANTIOQUIA,607,RETIRO
05,ANTIOQUIA,615,RIONEGRO
05,ANTIOQUIA,631,SABANETA
08,ATLANTICO,001,BARRANQUILLA
08,ATLANTICO,758,SOLEDAD
11,BOGOTA D.C.,001,BOGOTA
13,BOLIVAR,001,CARTAGENA
15,BOYACA,001,TUNJA
17,CALDAS,001,MANIZALES
18,CAQUETA,001,FLORENCIA
19,CAUCA,001,POPAYAN
20,CESAR,001,VALLEDUPAR
23,CORDOBA,001,MONTERIA
25,CUNDINAMARCA,175,CHIA
25,CUNDINAMARCA,286,FUNZA
25,CUNDINAMARCA,322,GUASCA
25,CUNDINAMARCA,473,MOSQUERA
25,CUNDINAMARCA,754,SOACHA
25,CUNDINAMARCA,899,ZIPAQUIRA
27,CHOCO,001,QUIBDO
41,HUILA,001,NEIVA
44,LA GUAJIRA,001,RIOHACHA
47,MAGDALENA,001,SANTA MARTA
50,META,001,VILLAVICENCIO
52,NARIÑO,001,PASTO
52,NARIÑO,356,IPIALES
54,NORTE DE SANTANDER,001,CUCUTA
63,QUINDIO,001,ARMENIA
66,RISARALDA,001,PEREIRA
68,SANTANDER,001,BUCARAMANGA
68,SANTANDER,081,BARRANCABERMEJA
68,SANTANDER,276,FLORIDABLANCA
68,SANTANDER,307,GIRON
68,SANTANDER,547,PIEDECUESTA
68,SANTANDER,615,RIONEGRO
70,SUCRE,001,SINCELEJO
73,TOLIMA,001,IBAGUE
73,TOLIMA,268,ESPINAL
73,TOLIMA,268,EL ESPINAL
76,VALLE DEL CAUCA,001,CALI
76,VALLE DEL CAUCA,109,BUENAVENTURA
76,VALLE DEL CAUCA,520,PALMIRA
76,VALLE DEL CAUCA,892,YUMBO
81,ARAUCA,001,ARAUCA
85,CASANARE,001,YOPAL
86,PUTUMAYO,001,MOCOA
86,PUTUMAYO,568,PUERTO ASIS
88,SAN ANDRES,001,SAN ANDRES
91,AMAZONAS,001,LETICIA
94,GUAINIA,001,INIRIDA
95,GUAVIARE,001,SAN JOSE DEL GUAVIARE
97,VAUPES,001,MITU
99,VICHADA,001,PUERTO CARREÑO
